Representative,BioGuideID,ReportDate,TransactionDate,Ticker,Transaction,Range,House,Amount,Party,Quarter,TransactionType,TradeAmount,PartyName
Rob Bresnahan,B001327,3/27/2025,2/25/2025,FSLR,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,HCA,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,HUM,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,PFE,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,SLB,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,TXT,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,AES,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,UNH,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,V,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,EXR,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,CVS,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,LMT,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,IDXX,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,CNP,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,F,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,IQV,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,APP,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,STE,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
David H. McCormick,M001243,3/5/2025,2/25/2025,BITB,Purchase,"$50,001 - $100,000",Senate,50001,R,2025-Q1,purchase,100000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,ARE,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,ADBE,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,PEP,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Julie Johnson,J000310,3/12/2025,2/25/2025,UNP,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
Julie Johnson,J000310,3/12/2025,2/25/2025,NSC,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Jefferson Shreve,S001229,3/9/2025,2/24/2025,PLD,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Shelley Moore Capito,C001047,3/6/2025,2/24/2025,ACN,Sale (Partial),"$1,001 - $15,000",Senate,1001,R,2025-Q1,sale,15000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,UNP,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,RTX,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,MSFT,Sale,"$50,001 - $100,000",Representatives,50001,R,2025-Q1,sale,100000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,PWR,Sale,"$50,001 - $100,000",Representatives,50001,R,2025-Q1,sale,100000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,NSC,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,CMCSA,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,PG,Sale,"$50,001 - $100,000",Representatives,50001,R,2025-Q1,sale,100000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,UNH,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Gilbert Cisneros,C001123,3/6/2025,2/24/2025,WTW,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
Josh Gottheimer,G000583,3/6/2025,2/24/2025,AAPL,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Jefferson Shreve,S001229,3/9/2025,2/24/2025,ELV,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,ORCL,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,CSGP,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,AKAM,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,APD,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,BLK,Sale,"$50,001 - $100,000",Representatives,50001,R,2025-Q1,sale,100000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,RPD,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,RGLD,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,GE,Purchase,"$50,001 - $100,000",Representatives,50001,R,2025-Q1,purchase,100000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,AMGN,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,CAT,Sale,"$50,001 - $100,000",Representatives,50001,R,2025-Q1,sale,100000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,APP,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,UPS,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Shelley Moore Capito,C001047,3/6/2025,2/24/2025,CMCSA,Sale (Full),"$1,001 - $15,000",Senate,1001,R,2025-Q1,sale,15000,Republicans
Shelley Moore Capito,C001047,3/6/2025,2/24/2025,ABT,Sale (Partial),"$1,001 - $15,000",Senate,1001,R,2025-Q1,sale,15000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,ADBE,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Gilbert Cisneros,C001123,3/6/2025,2/24/2025,BSX,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Jefferson Shreve,S001229,3/9/2025,2/24/2025,LIN,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Julie Johnson,J000310,3/12/2025,2/24/2025,GS,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
Jefferson Shreve,S001229,3/9/2025,2/24/2025,HUBB,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Julie Johnson,J000310,3/12/2025,2/24/2025,PNC,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Jefferson Shreve,S001229,3/9/2025,2/24/2025,AVGO,Purchase,"$100,001 - $250,000",Representatives,100001,R,2025-Q1,purchase,250000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,MRP,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,QCOM,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Julie Johnson,J000310,3/12/2025,2/24/2025,BK,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
Jefferson Shreve,S001229,3/9/2025,2/24/2025,INTU,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,OXY,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,TJX,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,CI,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,JNJ,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,IEX,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Julie Johnson,J000310,3/12/2025,2/24/2025,BLK,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Julie Johnson,J000310,3/12/2025,2/24/2025,PGR,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
Jefferson Shreve,S001229,3/9/2025,2/24/2025,MSTR,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Josh Gottheimer,G000583,3/6/2025,2/24/2025,HD,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Jefferson Shreve,S001229,3/9/2025,2/24/2025,HOPE,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,NVDA,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,PFE,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,LEN,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,HD,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,AVB,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Susie Lee,L000590,3/14/2025,2/24/2025,FLL,Sale,"$15,001 - $50,000",Representatives,15001,D,2025-Q1,sale,50000,Democrats
Jefferson Shreve,S001229,3/9/2025,2/24/2025,LOW,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,ABBV,Purchase,"$50,001 - $100,000",Representatives,50001,R,2025-Q1,purchase,100000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,TTD,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,ACGL,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,XOM,Purchase,"$50,001 - $100,000",Representatives,50001,R,2025-Q1,purchase,100000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,FIS,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,VRTX,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,HAL,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,MRK,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,SHW,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,NVT,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,DVN,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,EPAM,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,ALB,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,BC,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,ITT,Sale,"$50,001 - $100,000",Representatives,50001,R,2025-Q1,sale,100000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,EXPO,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,BUSE,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,BA,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,PHM,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,HOG,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Jefferson Shreve,S001229,3/9/2025,2/24/2025,PRI,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Josh Gottheimer,G000583,3/6/2025,2/24/2025,MSFT,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Jefferson Shreve,S001229,3/9/2025,2/24/2025,XYZ,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Julie Johnson,J000310,3/12/2025,2/24/2025,COF,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
April Mcclain Delaney,M001232,3/20/2025,2/22/2025,TPX,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
April Mcclain Delaney,M001232,3/20/2025,2/22/2025,TDY,Sale,"$15,001 - $50,000",Representatives,15001,D,2025-Q1,sale,50000,Democrats
April Mcclain Delaney,M001232,3/20/2025,2/22/2025,CPAY,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
April Mcclain Delaney,M001232,3/20/2025,2/22/2025,CACI,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
April Mcclain Delaney,M001232,3/20/2025,2/21/2025,PAYX,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
Josh Gottheimer,G000583,3/6/2025,2/21/2025,PAYX,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
April Mcclain Delaney,M001232,3/20/2025,2/21/2025,TPX,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Josh Gottheimer,G000583,3/6/2025,2/21/2025,NTDOY,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Josh Gottheimer,G000583,3/6/2025,2/21/2025,IFNNY,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Josh Gottheimer,G000583,3/6/2025,2/21/2025,FI,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
Josh Gottheimer,G000583,3/6/2025,2/21/2025,SCHW,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Josh Gottheimer,G000583,3/6/2025,2/21/2025,AAPL,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Rob Bresnahan,B001327,3/10/2025,2/21/2025,BABA,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Susie Lee,L000590,3/14/2025,2/21/2025,FLL,Sale,"$15,001 - $50,000",Representatives,15001,D,2025-Q1,sale,50000,Democrats
Josh Gottheimer,G000583,3/6/2025,2/21/2025,MSFT,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Josh Gottheimer,G000583,3/6/2025,2/21/2025,CSCO,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Josh Gottheimer,G000583,3/6/2025,2/21/2025,SPOT,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Josh Gottheimer,G000583,3/6/2025,2/21/2025,DASTY,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Josh Gottheimer,G000583,3/6/2025,2/21/2025,SNOW,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
Tim Moore,M001236,3/11/2025,2/21/2025,ROK,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Gilbert Cisneros,C001123,3/6/2025,2/20/2025,ICFI,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Rob Bresnahan,B001327,3/10/2025,2/20/2025,META,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Greg Landsman,L000601,3/5/2025,2/20/2025,AMZN,Purchase,"$15,001 - $50,000",Representatives,15001,D,2025-Q1,purchase,50000,Democrats
Rob Bresnahan,B001327,3/10/2025,2/20/2025,HOOD,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Tim Moore,M001236,3/11/2025,2/20/2025,GD,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/10/2025,2/20/2025,INTC,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Virginia Foxx,F000450,3/3/2025,2/19/2025,ET,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Josh Gottheimer,G000583,3/6/2025,2/19/2025,LLY,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Josh Gottheimer,G000583,3/6/2025,2/19/2025,ICFI,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Scott Scott Franklin,F000472,3/18/2025,2/18/2025,LMT,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Greg Landsman,L000601,3/5/2025,2/18/2025,CRWD,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
Greg Landsman,L000601,3/5/2025,2/18/2025,BLK,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
April Mcclain Delaney,M001232,3/20/2025,2/18/2025,CACI,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Scott Scott Franklin,F000472,3/18/2025,2/18/2025,LMT,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Scott Scott Franklin,F000472,3/18/2025,2/18/2025,LMT,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
April Mcclain Delaney,M001232,3/20/2025,2/18/2025,AOS,Sale,"$15,001 - $50,000",Representatives,15001,D,2025-Q1,sale,50000,Democrats
Mark Dr Green,G000590,2/28/2025,2/18/2025,NGL,Sale,"$100,001 - $250,000",Representatives,100001,R,2025-Q1,sale,250000,Republicans
Jake Auchincloss,A000148,2/21/2025,2/18/2025,STT,Sale,"$15,001 - $50,000",Representatives,15001,D,2025-Q1,sale,50000,Democrats
Lloyd Doggett,D000399,3/10/2025,2/18/2025,PG,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
Rob Bresnahan,B001327,3/10/2025,2/18/2025,ALAB,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
James E. Banks,B001299,3/10/2025,2/18/2025,YUM,Sale (Full),"$1,001 - $15,000",Senate,1001,R,2025-Q1,sale,15000,Republicans
April Mcclain Delaney,M001232,3/20/2025,2/17/2025,VIK,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
April Mcclain Delaney,M001232,3/20/2025,2/17/2025,LH,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
April Mcclain Delaney,M001232,3/20/2025,2/17/2025,ENTG,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
April Mcclain Delaney,M001232,3/20/2025,2/17/2025,TPX,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
April Mcclain Delaney,M001232,3/20/2025,2/17/2025,FBIN,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
April Mcclain Delaney,M001232,3/20/2025,2/16/2025,TPX,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
April Mcclain Delaney,M001232,3/20/2025,2/15/2025,TPX,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Josh Gottheimer,G000583,3/6/2025,2/14/2025,MSFT,Purchase,"$1,000,001 - $5,000,000",Representatives,1000001,D,2025-Q1,purchase,5000000,Democrats
Rob Bresnahan,B001327,3/10/2025,2/14/2025,INTC,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Josh Gottheimer,G000583,3/6/2025,2/14/2025,MSFT,Sale,"$1,000,001 - $5,000,000",Representatives,1000001,D,2025-Q1,sale,5000000,Democrats
Josh Gottheimer,G000583,3/6/2025,2/14/2025,MSFT,Sale,"$250,001 - $500,000",Representatives,250001,D,2025-Q1,sale,500000,Democrats
Josh Gottheimer,G000583,3/6/2025,2/14/2025,MSFT,Purchase,"$1,000,001 - $5,000,000",Representatives,1000001,D,2025-Q1,purchase,5000000,Democrats
Josh Gottheimer,G000583,3/6/2025,2/14/2025,MSFT,Sale,"$1,000,001 - $5,000,000",Representatives,1000001,D,2025-Q1,sale,5000000,Democrats
Julie Johnson,J000310,3/12/2025,2/14/2025,CB,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Josh Gottheimer,G000583,3/6/2025,2/14/2025,MSFT,Purchase,"$500,001 - $1,000,000",Representatives,500001,D,2025-Q1,purchase,1000000,Democrats
Rob Bresnahan,B001327,3/10/2025,2/14/2025,ORCL,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Julie Johnson,J000310,3/12/2025,2/14/2025,COF,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
April Mcclain Delaney,M001232,3/20/2025,2/14/2025,LYV,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
John Boozman,B001236,3/6/2025,2/14/2025,MSFT,Purchase,"$1,001 - $15,000",Senate,1001,R,2025-Q1,purchase,15000,Republicans
Josh Gottheimer,G000583,3/6/2025,2/14/2025,MSFT,Sale,"$500,001 - $1,000,000",Representatives,500001,D,2025-Q1,sale,1000000,Democrats
Rob Bresnahan,B001327,3/10/2025,2/14/2025,RDDT,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
John Boozman,B001236,3/6/2025,2/14/2025,IVW,Sale (Partial),"$1,001 - $15,000",Senate,1001,R,2025-Q1,sale,15000,Republicans
Julie Johnson,J000310,3/12/2025,2/14/2025,BK,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
Josh Gottheimer,G000583,3/6/2025,2/14/2025,MSFT,Purchase,"$1,000,001 - $5,000,000",Representatives,1000001,D,2025-Q1,purchase,5000000,Democrats
Josh Gottheimer,G000583,3/6/2025,2/14/2025,TSLA,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Julie Johnson,J000310,3/12/2025,2/14/2025,RTX,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
Virginia Foxx,F000450,3/3/2025,2/14/2025,ARLP,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Julie Johnson,J000310,3/12/2025,2/14/2025,PGR,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
Markwayne Mullin,M001190,2/27/2025,2/13/2025,HON,Sale (Full),"$15,001 - $50,000",Senate,15001,R,2025-Q1,sale,50000,Republicans
Markwayne Mullin,M001190,2/27/2025,2/13/2025,IQV,Purchase,"$15,001 - $50,000",Senate,15001,R,2025-Q1,purchase,50000,Republicans
Markwayne Mullin,M001190,2/27/2025,2/13/2025,LHX,Purchase,"$15,001 - $50,000",Senate,15001,R,2025-Q1,purchase,50000,Republicans
John Boozman,B001236,3/6/2025,2/13/2025,DIS,Sale (Full),"$1,001 - $15,000",Senate,1001,R,2025-Q1,sale,15000,Republicans
Markwayne Mullin,M001190,2/27/2025,2/13/2025,LPLA,Purchase,"$50,001 - $100,000",Senate,50001,R,2025-Q1,purchase,100000,Republicans
Byron Donalds,D000032,3/25/2025,2/13/2025,DASH,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Markwayne Mullin,M001190,2/27/2025,2/13/2025,VAW,Sale (Full),"$100,001 - $250,000",Senate,100001,R,2025-Q1,sale,250000,Republicans
John Boozman,B001236,3/6/2025,2/13/2025,BSX,Purchase,"$1,001 - $15,000",Senate,1001,R,2025-Q1,purchase,15000,Republicans
