Quarter,PartyName,Representative,Ticker,TransactionType,TradeAmount_UpperRange_$,TradeAmount_UpperRange,PercentChange,TransactionDate
2025-Q1,Democrats,Josh Gottheimer,ABT,purchase,"$15,000.00",15000.0,1.233145359164258,2025-01-28
2025-Q1,Democrats,Gilbert Cisneros,LNTH,purchase,"$15,000.00",15000.0,-2.87258797055822,2025-01-28
2025-Q1,Democrats,Gilbert Cisneros,WTW,purchase,"$15,000.00",15000.0,3.472560210243731,2025-01-28
2025-Q1,Democrats,Josh Gottheimer,V,purchase,"$15,000.00",15000.0,4.714690457465645,2025-01-28
2025-Q1,Democrats,Josh Gottheimer,CLPBY,purchase,"$15,000.00",15000.0,-8.536581718760436,2025-01-27
2025-Q1,Democrats,Josh Gottheimer,CDRE,purchase,"$15,000.00",15000.0,-20.711706220664063,2025-01-27
2025-Q1,Democrats,Josh Gottheimer,GLW,purchase,"$15,000.00",15000.0,-8.807033867527633,2025-01-27
2025-Q1,Democrats,Josh Gottheimer,GBOOY,purchase,"$15,000.00",15000.0,0.8951040414663461,2025-01-27
2025-Q1,Democrats,Josh Gottheimer,ABEV,purchase,"$15,000.00",15000.0,28.127697179403764,2025-01-27
2025-Q1,Democrats,Gilbert Cisneros,CCI,purchase,"$15,000.00",15000.0,17.754212602371044,2025-01-24
2025-Q1,Democrats,Gilbert Cisneros,K,purchase,"$15,000.00",15000.0,1.6664531783408698,2025-01-24
2025-Q1,Democrats,Julie Johnson,GS,purchase,"$15,000.00",15000.0,-10.842624027063248,2025-01-24
2025-Q1,Democrats,Gilbert Cisneros,PLTR,purchase,"$15,000.00",15000.0,13.965835369929588,2025-01-24
2025-Q1,Democrats,Josh Gottheimer,JNJ,purchase,"$15,000.00",15000.0,12.005861176235095,2025-01-24
2025-Q1,Democrats,Gilbert Cisneros,CVS,purchase,"$15,000.00",15000.0,26.124269724650613,2025-01-24
2025-Q1,Democrats,Josh Gottheimer,V,purchase,"$15,000.00",15000.0,6.837601179330835,2025-01-24
2025-Q1,Democrats,Gilbert Cisneros,F,purchase,"$15,000.00",15000.0,0.6252892890085472,2025-01-24
2025-Q1,Democrats,William R. Keating,KLAC,purchase,"$15,000.00",15000.0,-8.296028728545506,2025-01-24
2025-Q1,Democrats,Gilbert Cisneros,MSFT,purchase,"$15,000.00",15000.0,-12.084836409484575,2025-01-24
2025-Q1,Democrats,Julie Johnson,PGR,purchase,"$15,000.00",15000.0,15.102882205706097,2025-01-24
2025-Q1,Democrats,Gilbert Cisneros,UNH,purchase,"$50,000.00",50000.0,-1.9287709834427456,2025-01-24
2025-Q1,Democrats,Gilbert Cisneros,LUV,purchase,"$15,000.00",15000.0,6.560204032594771,2025-01-24
2025-Q1,Democrats,Josh Gottheimer,V,purchase,"$15,000.00",15000.0,8.2433475772114,2025-01-23
2025-Q1,Democrats,Josh Gottheimer,TEL,purchase,"$15,000.00",15000.0,-4.979980848160765,2025-01-23
2025-Q1,Democrats,Ron Wyden,LLY,purchase,"$100,000.00",100000.0,10.395410832186007,2025-01-22
2025-Q1,Democrats,Josh Gottheimer,WMT,purchase,"$15,000.00",15000.0,-8.430042898474417,2025-01-22
2025-Q1,Democrats,Gilbert Cisneros,PAR,purchase,"$15,000.00",15000.0,-15.304467036215671,2025-01-22
2025-Q1,Democrats,Josh Gottheimer,MMM,purchase,"$15,000.00",15000.0,2.523868412537716,2025-01-21
2025-Q1,Democrats,William R. Keating,CSGP,purchase,"$15,000.00",15000.0,7.62928211954734,2025-01-21
2025-Q1,Democrats,Josh Gottheimer,JNJ,purchase,"$15,000.00",15000.0,11.43656956258983,2025-01-21
2025-Q1,Democrats,Josh Gottheimer,KO,purchase,"$15,000.00",15000.0,13.29415665114539,2025-01-21
2025-Q1,Democrats,Josh Gottheimer,PAR,purchase,"$15,000.00",15000.0,-17.372937092293213,2025-01-17
2025-Q1,Democrats,Julie Johnson,MRK,purchase,"$15,000.00",15000.0,-12.056554716246668,2025-01-17
2025-Q1,Democrats,Josh Gottheimer,SHEL,purchase,"$15,000.00",15000.0,11.916124212734683,2025-01-16
2025-Q1,Democrats,Josh Gottheimer,NSRGY,purchase,"$15,000.00",15000.0,26.45633443944231,2025-01-16
2025-Q1,Democrats,Josh Gottheimer,D,purchase,"$15,000.00",15000.0,2.973917717637684,2025-01-16
2025-Q1,Democrats,Josh Gottheimer,GMAB,purchase,"$15,000.00",15000.0,-3.774490702381808,2025-01-16
2025-Q1,Democrats,Josh Gottheimer,DHI,purchase,"$15,000.00",15000.0,-10.279051812324296,2025-01-16
2025-Q1,Democrats,Josh Gottheimer,JNJ,purchase,"$15,000.00",15000.0,13.938322344843664,2025-01-16
2025-Q1,Democrats,Josh Gottheimer,UNICY,purchase,"$15,000.00",15000.0,0.0,2025-01-16
2025-Q1,Democrats,Josh Gottheimer,TLK,purchase,"$15,000.00",15000.0,-7.906118866104247,2025-01-16
2025-Q1,Democrats,Josh Gottheimer,KO,purchase,"$15,000.00",15000.0,16.024138682257256,2025-01-16
2025-Q1,Democrats,Julie Johnson,PEP,purchase,"$15,000.00",15000.0,3.7825899333603847,2025-01-15
2025-Q1,Democrats,Jared Moskowitz,MCK,purchase,"$15,000.00",15000.0,12.515868071587558,2025-01-15
2025-Q1,Democrats,Jared Moskowitz,MCK,purchase,"$15,000.00",15000.0,12.515868071587558,2025-01-15
2025-Q1,Democrats,Julie Johnson,NEE,purchase,"$15,000.00",15000.0,1.930178262069501,2025-01-15
2025-Q1,Democrats,Julie Johnson,JNPR,purchase,"$15,000.00",15000.0,-6.066526817595113,2025-01-15
2025-Q1,Democrats,Jared Moskowitz,GS,purchase,"$15,000.00",15000.0,-6.071656244973264,2025-01-15
2025-Q1,Democrats,Jared Moskowitz,GS,purchase,"$15,000.00",15000.0,-6.071656244973264,2025-01-15
2025-Q1,Democrats,Julie Johnson,WBA,purchase,"$15,000.00",15000.0,-10.433388336716224,2025-01-15
2025-Q1,Democrats,Julie Johnson,DOW,purchase,"$15,000.00",15000.0,-11.329535660126766,2025-01-15
2025-Q1,Democrats,Julie Johnson,ENPH,purchase,"$15,000.00",15000.0,-11.385203340451948,2025-01-15
2025-Q1,Democrats,Jared Moskowitz,ABBV,purchase,"$15,000.00",15000.0,16.828029177772716,2025-01-15
2025-Q1,Democrats,Jared Moskowitz,GS,purchase,"$15,000.00",15000.0,-6.071656244973264,2025-01-15
2025-Q1,Democrats,Julie Johnson,UBER,purchase,"$15,000.00",15000.0,13.40705679096419,2025-01-15
2025-Q1,Democrats,Jared Moskowitz,ABBV,purchase,"$15,000.00",15000.0,16.828029177772716,2025-01-15
2025-Q1,Democrats,Julie Johnson,BMY,purchase,"$15,000.00",15000.0,4.93497310716635,2025-01-15
2025-Q1,Democrats,Debbie Dingell,DIS,purchase,"$15,000.00",15000.0,-7.987543617256954,2025-01-15
2025-Q1,Democrats,Julie Johnson,REGN,purchase,"$15,000.00",15000.0,-9.129602309911936,2025-01-15
2025-Q1,Democrats,Jared Moskowitz,SYK,purchase,"$15,000.00",15000.0,0.825723472884161,2025-01-15
2025-Q1,Democrats,Julie Johnson,DLTR,purchase,"$15,000.00",15000.0,7.622373354184877,2025-01-15
